rank;country;population2023;yearlychange;netchange;density;land area;migrants;fert.rate;medianage;urbanpop%;worldshare;population_share
36;Afghanistan;42239854;;1111083;65;652860;-65846;4.4;17.0;;;0.005251164930243118
138;Albania;2832439;;-9882;103;27400;-8000;1.4;38.0;;;0.0003521225320488297
34;Algeria;45606480;;703255;19;2381740;-9999;2.8;28.0;;;0.005669696404912625
212;American Samoa;43914;;-359;220;200;-790;2.2;29.0;;;5.459291046477014e-06
202;Andorra;80088;;264;170;470;200;1.1;43.0;;;9.956362465961906e-06
42;Angola;36684202;;1095215;29;1246700;-1000;5.1;16.0;;;0.004560498600121924
223;Anguilla;15899;;42;177;90;0;1.3;38.0;;;1.9765284043343364e-06
200;Antigua and Barbuda;94298;;535;214;440;0;1.6;36.0;;;1.1722918137739433e-05
33;Argentina;45773884;;263566;17;2736690;3718;1.9;32.0;;;0.0056905076987675334
140;Armenia;2777970;;-2499;98;28470;-5000;1.6;35.0;;;0.0003453510668210992
197;Aruba;106277;;-168;590;180;157;1.2;42.0;;;1.321212083951445e-05
55;Australia;26439111;;261698;3;7682300;139991;1.6;38.0;;;0.0032868516181425497
100;Austria;8958960;;19343;109;82409;19999;1.5;43.0;;;0.0011137580296430684
90;Azerbaijan;10412651;;54577;126;82658;0;1.7;32.0;;;0.0012944776694081598
177;Bahamas;412623;;2639;41;10010;1000;1.4;33.0;;;5.129637585896263e-05
154;Bahrain;1485509;;13276;1955;760;0;1.8;34.0;;;0.0001846751829293852
8;Bangladesh;172954319;;1767947;1329;130170;-309977;1.9;27.0;;;0.02150129719830189
187;Barbados;281995;;360;656;430;-80;1.6;40.0;;;3.5056992727860946e-05
97;Belarus;9498238;;-36716;47;202910;-4282;1.5;41.0;;;0.0011807998740881664
82;Belgium;11686140;;30210;386;30280;23999;1.6;41.0;;;0.0014527949963537116
178;Belize;410825;;5553;18;22810;600;2.0;26.0;;;5.107285248824792e-05
77;Benin;13712828;;359964;122;112760;-200;4.8;18.0;;;0.0017047483518303798
205;Bermuda;64069;;-115;1281;50;0;1.4;46.0;;;7.964915927875752e-06
165;Bhutan;787424;;4969;21;38117;300;1.4;29.0;;;9.789080459491543e-05
80;Bolivia;12388571;;164461;11;1083300;-3000;2.5;24.0;;;0.0015401196597655596
